algorithm,silhouette,davies_bouldin,calinski_harabasz,k,noise_pct,label_col,min_cluster_pct,notes
KMeans,0.15200133915862424,1.3918642906842584,6361.4058817226005,,,,0.004653399308194636,
Hierarchical (Ward),0.17000829305439935,1.4264213741918055,5404.4943148362145,,,,0.1737269075059331,
HDBSCAN,0.06983289215301824,2.3442434065296434,4245.649625778211,6.0,4.585149451674448,hdbscan_label,1.8922829320631411,
DBSCAN,0.22288427301911198,1.4229939799539426,2823.359304780189,10.0,0.5041182583877523,dbscan_label,0.009353953604390121,
